day	sum	infected	cured	deceased
0	0.000000	0.000000	0.000000	0.000000
1	0.000279	0.000279	0.000000	0.000000
2	0.000671	0.000671	0.000000	0.000000
3	0.001218	0.001216	0.000000	0.000001
4	0.001983	0.001980	0.000000	0.000002
5	0.003056	0.003052	0.000000	0.000004
6	0.004576	0.004569	0.000000	0.000007
7	0.006692	0.006681	0.000000	0.000011
8	0.009609	0.009592	0.000000	0.000017
9	0.013687	0.013661	0.000000	0.000026
10	0.019440	0.019402	0.000000	0.000038
11	0.027536	0.027481	0.000000	0.000055
12	0.038866	0.038785	0.000000	0.000080
13	0.054705	0.054590	0.000000	0.000115
14	0.076751	0.076588	0.000000	0.000163
15	0.107654	0.107423	0.000000	0.000232
16	0.151059	0.150732	0.000000	0.000327
17	0.211942	0.211480	0.000000	0.000462
18	0.297013	0.296362	0.000000	0.000651
19	0.415469	0.414555	0.000000	0.000914
20	0.581590	0.580307	0.000000	0.001283
21	0.814861	0.813060	0.000000	0.001800
22	1.141634	1.139107	0.000000	0.002527
23	1.598001	1.594459	0.000001	0.003541
24	2.235464	2.230505	0.000002	0.004958
25	3.129804	3.122857	0.000003	0.006945
26	4.383120	4.373383	0.000006	0.009731
27	6.137455	6.123810	0.000012	0.013633
28	8.584651	8.565554	0.000023	0.019074
29	12.014332	11.987591	0.000044	0.026697
30	16.821257	16.783787	0.000087	0.037383
31	23.557300	23.504751	0.000176	0.052372
32	32.949536	32.875931	0.000336	0.073269
33	46.091332	45.988184	0.000650	0.102498
34	64.513438	64.368671	0.001283	0.143485
35	90.288758	90.085305	0.002562	0.200891
36	126.254916	125.968931	0.004946	0.281038
37	176.490318	176.087694	0.009584	0.393040
38	246.729222	246.160522	0.018857	0.549842
39	344.748346	343.941479	0.037664	0.769202
40	481.043490	479.896245	0.072409	1.074836
41	670.484833	668.843810	0.140087	1.500937
42	933.358832	930.988798	0.274808	2.095226
43	1296.097106	1292.629340	0.545931	2.921836
44	1794.284432	1789.173987	1.044064	4.066381
45	2473.387180	2465.738563	2.001966	5.646651
46	3388.859814	3377.161630	3.878889	7.819296
47	4601.639586	4583.329597	7.536524	10.773465
48	6186.622250	6157.660648	14.191966	14.769636
49	8198.525003	8152.076095	26.334144	20.114764
50	10635.919145	10560.080719	48.733290	27.105136
51	13440.815913	13316.336879	88.453374	36.025660
52	16459.331560	16256.426049	155.803050	47.102461
