day	sum	infected	cured	deceased
0	0.000000	0.000000	0.000000	0.000000
1	0.165298	0.164409	0.000000	0.000888
2	0.378204	0.374327	0.000002	0.003874
3	0.652392	0.642846	0.000007	0.009539
4	1.005621	0.986965	0.000016	0.018640
5	1.460596	1.428418	0.000034	0.032144
6	2.046161	1.994818	0.000067	0.051277
7	2.800664	2.722869	0.000125	0.077670
8	3.772955	3.659315	0.000228	0.113413
9	5.025696	4.864105	0.000407	0.161185
10	6.636198	6.411243	0.000699	0.224256
11	8.710392	8.402070	0.001194	0.307128
12	11.384805	10.967135	0.002043	0.415627
13	14.830457	14.269880	0.003493	0.557084
14	19.267504	18.520682	0.005919	0.740903
15	24.971108	23.982578	0.009812	0.978718
16	32.317121	31.014268	0.016336	1.286517
17	41.786357	40.074140	0.027377	1.684840
18	53.982714	51.736994	0.046125	2.199595
19	69.678190	66.737402	0.077047	2.863741
20	89.844390	85.999537	0.126459	3.718394
21	115.802569	110.773721	0.209010	4.819839
22	149.233267	142.645225	0.348069	6.239973
23	192.239551	183.587335	0.583063	8.069154
24	247.502924	236.112234	0.968672	10.422019
25	318.388057	303.363479	1.583111	13.441467
26	409.408442	389.484124	2.603748	17.320570
27	526.254218	499.639071	4.311276	22.303870
28	675.937794	640.081903	7.161986	28.693905
29	867.344251	818.655330	11.815927	36.872995
30	1111.431342	1044.944733	19.174227	47.312382
31	1422.222000	1330.428592	31.172565	60.620842
32	1816.878012	1688.496946	50.832884	77.548181
33	2315.618850	2134.141633	82.496053	98.981164
34	2942.620885	2683.618639	133.019352	125.982893
35	3727.504707	3356.249830	211.371876	159.883000
36	4702.131151	4167.285892	332.699733	202.145525
37	5900.212671	5126.957790	518.903476	254.351404
38	7357.313336	6240.476773	798.638097	318.198467
39	9109.280363	7507.811230	1205.980923	395.488210
40	11186.188903	8910.939856	1787.321123	487.927923
41	13611.492632	10412.936666	2601.743883	596.812083
42	16395.540358	11971.021092	3701.587332	722.931934
43	19535.136936	13537.047225	5131.516349	866.573362
44	23013.543272	15057.503818	6928.522564	1027.516889
45	26800.476320	16473.514282	9121.924363	1205.037675
46	30854.238317	17729.766906	11726.751140	1397.720271
