day	sum	infected	cured	deceased
0	0.000000	0.000000	0.000000	0.000000
1	0.393388	0.390535	0.000001	0.002852
2	0.884780	0.872496	0.000004	0.012280
3	1.498690	1.468839	0.000011	0.029841
4	2.265358	2.207879	0.000024	0.057455
5	3.222991	3.125393	0.000048	0.097550
6	4.419471	4.266209	0.000090	0.153172
7	5.915017	5.686682	0.000162	0.228172
8	7.781155	7.453794	0.000278	0.327083
9	10.111022	9.654745	0.000464	0.455812
10	13.023201	12.400519	0.000768	0.621913
11	16.661929	15.826072	0.001257	0.834600
12	21.210313	20.102634	0.002056	1.105623
13	26.884077	25.432161	0.003279	1.448637
14	33.964390	32.077747	0.005176	1.881467
15	42.812927	40.377565	0.008198	2.427164
16	53.871865	50.744865	0.012995	3.114005
17	67.687851	63.690051	0.020680	3.977120
18	84.932945	79.841000	0.032586	5.059358
19	106.433281	99.969642	0.050626	6.413013
20	133.276994	125.090625	0.078904	8.107466
21	166.817315	156.464151	0.123755	10.229409
22	208.683409	195.605574	0.194229	12.883606
23	260.951041	244.440312	0.306741	16.203988
24	326.053471	305.232515	0.475794	20.345162
25	407.168638	380.922826	0.735299	25.510512
26	508.328437	475.224109	1.144212	31.960117
27	634.418727	592.621456	1.786524	40.010748
28	791.380603	738.528756	2.801269	50.050578
29	986.536181	919.616924	4.363797	62.555460
30	1228.721447	1143.912141	6.710663	78.098643
31	1529.147513	1421.391865	10.334791	97.420857
32	1901.433039	1764.008177	15.991998	121.432863
33	2361.606005	2185.683125	24.707018	151.215862
34	2928.682209	2702.348876	38.253818	188.079515
35	3625.694356	3333.599524	58.498227	233.596605
36	4479.278743	4100.922786	88.700588	289.655368
37	5519.637803	5026.906311	134.236679	358.494814
38	6780.540106	6135.237671	202.597719	442.704717
39	8299.133931	7450.558954	303.361596	545.213381
40	10111.512059	8993.802497	448.647305	669.062257
41	12261.758939	10785.453192	658.084783	818.220964
42	14789.509783	12836.408318	956.343495	996.757969
43	17724.545736	15144.104268	1371.972672	1208.468797
44	21086.793881	17692.516539	1937.401308	1456.876034
45	24886.327233	20452.159742	2688.938163	1745.229328
46	29123.364747	23380.087595	3666.771765	2076.505387
47	33788.196932	26421.213660	4913.578162	2453.405109
48	38847.681316	29505.728588	6464.796748	2877.155980
49	44250.096430	32556.594575	8346.275113	3347.226742
50	49941.706002	35505.274345	10574.063584	3862.368072
51	55867.217785	38292.248664	13154.323559	4420.645562
52	61969.783563	40867.016345	16083.327500	5019.439718
53	68190.999144	43188.094247	19347.458933	5655.445963
54	74470.904363	45223.017275	22923.212454	6324.674634
55	80754.835115	46954.572339	26777.927698	7022.335078
56	87003.982156	48385.562978	30874.746579	7743.672600
57	93183.931825	49522.434681	35177.089289	8484.407855
58	99265.772487	50376.056087	39649.333494	9240.382905
59	105226.106036	50961.730462	44256.815091	10007.560484
60	111047.047896	51299.195701	48965.828199	10782.023996
61	116716.227017	51412.624331	53743.625170	11559.977517
62	122226.605532	51330.549637	58558.327539	12337.728356
63	127572.492697	51079.206506	63381.379458	13111.906733
64	132751.569677	50675.398894	68195.525406	13880.645377
65	137763.571603	50135.027005	72986.153029	14642.391569
66	142609.102144	49474.142194	77739.350269	15395.609681
67	147289.633512	48708.946970	82441.905371	16138.781171
68	151807.506462	47855.794993	87081.306879	16870.404590
69	156165.930289	46931.191078	91645.743637	17588.995574
70	160368.982830	45951.791189	96124.104788	18293.086853
71	164421.588345	44934.264906	100506.078151	18981.245289
72	168328.178751	43887.065647	104788.028477	19653.084628
73	172092.971238	42814.443000	108969.794475	20308.733763
74	175720.506886	41722.522279	113049.913723	20948.070884
75	179215.281541	40617.269903	117027.035474	21570.976164
76	182581.745812	39504.493396	120899.920652	22177.331765
77	185824.305076	38389.841388	124667.441858	22767.021830
78	188947.319472	37278.803618	128328.583365	23339.932490
79	191955.103904	36176.710926	131882.441120	23895.951858
80	194851.883105	35088.035864	135328.782420	24435.064821
81	197641.616161	34014.253274	138669.733784	24957.629103
82	200328.122767	32956.437758	141907.656728	25464.028282
83	202915.120246	31915.737292	145044.762622	25954.620332
84	205406.222762	30893.357686	148083.125168	26429.739907
85	207804.941324	29890.562584	151024.680402	26889.698338
86	210114.683783	28908.673460	153871.226690	27334.783632
87	212338.754834	27949.069624	156624.424732	27765.260477
88	214480.356015	27013.188218	159285.797559	28181.370238
89	216542.586120	26102.512267	161856.741201	28583.332652
90	218528.433263	25217.287987	164339.624962	28971.520314
91	220440.671139	24356.691578	166737.558089	29346.421472
92	222281.958533	23520.207983	169053.284363	29708.466187
93	224054.879768	22707.398783	171289.417015	30058.063971
94	225761.944709	21917.902196	173448.438720	30395.603793
95	227405.588761	21151.433082	175532.701605	30721.454075
96	228988.172869	20407.782935	177544.427242	31035.962692
97	230511.983518	19686.819891	179485.706651	31339.456975
98	231979.232733	18988.488723	181358.500302	31632.243708
99	233392.058079	18312.810841	183164.638109	31914.609129
100	234752.523244	17659.876662	184905.826539	32186.820042
101	236062.627753	17029.091441	186584.308998	32449.227314
102	237324.196197	16419.452264	188202.530572	32702.213361
103	238538.962026	15830.215959	189762.632996	32946.113070
104	239708.613203	15260.690607	191266.674348	33181.248248
105	240834.792204	14710.235541	192716.629051	33407.927612
106	241919.096014	14178.261347	194114.387870	33626.446796
107	242963.076132	13664.229863	195461.757918	33837.088351
108	243968.238569	13167.654178	196760.462650	34040.121740
109	244936.043845	12688.098637	198012.141866	34235.803343
110	245867.906996	12225.178833	199218.351710	34424.376453
111	246765.197567	11778.561615	200380.564671	34606.071281
112	247629.239614	11347.965082	201500.169582	34781.104950
113	248461.315599	10933.120524	202578.507902	34949.687173
114	249262.661418	10533.283375	203617.292327	35112.085716
115	250034.361244	10147.792069	204618.032570	35268.536606
116	250777.452305	9776.104620	205582.094334	35419.253352
117	251492.947380	9417.704847	206510.799865	35564.442669
118	252181.834801	9072.102373	207405.427950	35704.304478
119	252845.078451	8738.832627	208267.213917	35839.031906
120	253483.617764	8417.456842	209097.349637	35968.811285
121	254098.367727	8107.562056	209896.983518	36093.822153
122	254690.218877	7808.761110	210667.220513	36214.237254
123	255260.037305	7520.692652	211409.122116	36330.222536
124	255808.664651	7243.021134	212123.706361	36441.937156
125	256336.918108	6975.436812	212811.947824	36549.533472
126	256845.590421	6717.655748	213474.777621	36653.157053
127	257335.449887	6469.419807	214113.083411	36752.946669
128	257807.241770	6230.491773	214727.714846	36849.035152
129	258261.714889	6000.424007	215319.706623	36941.584260
130	258699.480334	5778.798411	215889.948784	37030.733139
131	259121.090117	5565.304598	216439.187134	37116.598385
132	259527.086112	5359.642605	216968.149695	37199.293812
133	259918.000051	5161.522894	217477.546701	37278.930456
134	260294.353524	4970.666348	217968.070605	37355.616571
135	260656.657982	4786.804278	218440.396073	37429.457631
136	261005.414732	4609.678417	218895.179985	37500.556330
137	261341.114943	4439.040922	219333.061440	37569.012581
138	261664.239642	4274.654376	219754.661748	37634.923517
139	261975.259713	4116.291785	220160.584438	37698.383490
140	262274.635902	3963.736577	220551.415251	37759.484074
141	262562.818812	3816.782609	220927.722145	37818.314058
142	262840.248905	3675.234157	221290.055293	37874.959455
143	263107.356503	3538.905924	221638.947083	37929.503496
144	263364.561786	3407.623037	221974.912118	37982.026631
145	263612.274794	3281.221048	222298.447216	38032.606530
146	263850.895425	3159.545929	222610.031412	38081.318084
147	264080.813431	3042.454064	222910.125965	38128.233403
148	264302.366493	2929.719785	223199.218057	38173.428650
149	264515.813365	2821.117827	223477.726271	38216.969266
150	264721.412794	2716.508085	223745.995535	38258.909174
151	264919.419432	2615.753718	224004.364410	38299.301304
152	265110.083829	2518.721145	224253.165094	38338.197590
153	265293.652441	2425.280052	224492.723420	38375.648970
154	265470.367625	2335.303382	224723.358854	38411.705389
155	265640.467638	2248.667344	224945.384499	38446.415795
156	265804.186642	2165.251409	225159.107090	38479.828143
157	265961.754699	2084.938311	225364.826999	38511.989390
158	266113.397775	2007.614044	225562.838231	38542.945500
159	266259.337737	1933.167867	225753.428428	38572.741442
160	266399.792353	1861.492300	225936.878864	38601.421189
161	266534.975296	1792.483127	226113.464451	38629.027718
162	266665.096138	1726.039393	226283.453732	38655.603013
163	266790.360356	1662.063407	226447.108888	38681.188062
164	266910.969327	1600.460738	226604.685732	38705.822857
165	267027.120331	1541.140221	226756.433714	38729.546397
166	267139.006550	1484.013950	226902.595917	38752.396683
167	267246.817068	1428.997284	227043.409061	38774.410723
168	267350.736261	1376.008692	227179.103102	38795.624467
169	267450.888444	1324.961799	227309.860243	38816.066401
170	267547.373201	1275.785372	227435.828211	38835.759619
171	267640.308049	1228.417884	227557.161839	38854.728326
172	267729.808623	1182.799004	227674.013305	38872.996315
173	267815.988674	1138.869590	227786.532126	38890.586958
174	267898.960072	1096.571694	227894.865161	38907.523217
175	267978.832807	1055.848558	227999.156614	38923.827634
176	268055.714983	1016.644618	228099.548028	38939.522338
177	268129.712827	978.905498	228196.178287	38954.629041
178	268200.930681	942.578019	228289.183620	38969.169041
179	268269.471005	907.610189	228378.697596	38983.163220
180	268335.434380	873.951212	228464.851126	38996.632042
181	268398.919501	841.551480	228547.772462	39009.595560
182	268460.023184	810.362579	228627.587199	39022.073406
183	268518.840363	780.337287	228704.418275	39034.084802
184	268575.464089	751.429572	228778.385967	39045.648550
185	268629.985532	723.594597	228849.607896	39056.783039
186	268682.493980	696.788715	228918.199023	39067.506242
187	268733.076838	670.969469	228984.271654	39077.835715
188	268781.819630	646.095596	229047.935434	39087.788599
189	268828.804034	622.127383	229109.295343	39097.381308
190	268874.079831	599.033334	229168.421668	39106.624829
191	268917.695989	576.785994	229225.380500	39115.529495
192	268959.705869	555.357833	229280.241793	39124.106242
193	269000.161974	534.721805	229333.074343	39132.365826
194	269039.115949	514.851344	229383.945786	39140.318819
195	269076.618584	495.720370	229432.922599	39147.975615
196	269112.719810	477.303285	229480.070100	39155.346425
197	269147.468703	459.574975	229525.452448	39162.441280
198	269180.913481	442.510808	229569.132644	39169.270029
199	269213.101505	426.086638	229611.172528	39175.842340
200	269244.079279	410.278799	229651.632782	39182.167698
201	269273.892450	395.064110	229690.572930	39188.255411
202	269302.585809	380.419872	229728.051334	39194.114602
