day	sum	infected	cured	deceased
0	0.000000	0.000000	0.000000	0.000000
1	0.963859	0.956697	0.000002	0.007160
2	2.135078	2.104555	0.000012	0.030511
3	3.558178	3.484840	0.000032	0.073306
4	5.287601	5.148003	0.000070	0.139528
5	7.389467	7.155305	0.000137	0.234025
6	9.942051	9.579292	0.000246	0.362513
7	13.043571	12.510971	0.000420	0.532180
8	16.813586	16.061096	0.000695	0.751795
9	21.396267	20.363158	0.001129	1.031979
10	26.966016	25.578636	0.001799	1.385581
11	33.724575	31.894521	0.002784	1.827270
12	41.932257	39.551920	0.004258	2.376079
13	51.910453	48.848339	0.006501	3.055613
14	64.041626	60.137686	0.009894	3.894046
15	78.781808	73.841674	0.015023	4.925111
16	96.693591	90.480552	0.022733	6.190306
17	118.422377	110.651934	0.033830	7.736613
18	144.800185	135.125058	0.050133	9.624994
19	176.855368	164.849625	0.074562	11.931182
20	215.812622	200.955803	0.111141	14.745678
21	263.119762	244.778090	0.165747	18.175925
22	320.580533	297.976842	0.247828	22.355863
23	390.237052	362.437165	0.365181	27.434706
24	474.702922	440.562089	0.535815	33.605018
25	577.214285	535.317673	0.789637	41.106976
26	701.629824	650.233011	1.168443	50.228370
27	852.450361	789.415894	1.728136	61.306331
28	1035.267106	957.931766	2.572069	74.763271
29	1256.442942	1161.591797	3.780232	91.070913
30	1523.835300	1407.498338	5.518017	110.818945
31	1847.082866	1704.267098	8.074327	134.741441
32	2237.605580	2062.027143	11.861582	163.716855
33	2708.604638	2492.420898	17.415711	198.768030
34	3275.481162	3008.734958	25.633677	241.112527
35	3956.600439	3626.930663	37.481853	292.187923
36	4773.140701	4365.168819	54.294482	353.677400
37	5749.406894	5243.352283	78.457220	427.597391
38	6912.833021	6283.125063	113.409956	516.298002
39	8293.982136	7507.872317	163.646809	622.463010
40	9926.052228	8942.165317	234.804373	749.082538
41	11842.727316	10608.438420	334.878203	899.410692
42	14085.752028	12533.966963	474.241272	1077.543793
43	16693.755628	14739.303050	666.700763	1287.751815
44	19699.852227	17235.737347	929.780248	1534.334631
45	23131.640787	20025.299085	1284.719686	1821.622016
46	27011.205117	23100.756054	1756.475421	2153.973643
47	31355.113881	26445.614607	2373.720187	2535.779087
48	36174.225334	30035.599165	3167.198676	2971.427493
49	41456.888384	33821.797063	4170.672333	3464.418988
50	47169.748159	37732.037404	5420.819195	4016.891560
51	53272.700977	41694.889944	6947.807841	4630.003193
52	59719.246476	45640.318989	8774.985270	5303.942217
53	66456.487613	49499.683400	10918.876907	6037.927306
54	73425.130671	53205.736587	13389.186605	6830.207480
55	80559.485252	56692.626516	16188.796636	7678.062100
56	87787.464279	59895.895703	19313.767702	8577.800874
57	95037.394492	62760.370971	22752.327638	9524.695883
58	102258.101595	65265.814046	26479.274710	10513.012839
59	109401.406109	67400.341880	30464.134596	11536.929633
60	116425.440136	69158.722541	34675.990413	12590.727181
61	123295.034731	70542.737564	39083.510183	13668.786985
62	129981.719899	71561.181949	43654.946824	14765.591126
63	136463.724592	72229.864164	48358.138159	15875.722269
64	142725.976715	72571.606143	53160.506909	16993.863663
65	148760.103121	72616.243285	58029.060700	18114.799136
66	154561.108158	72395.449124	62932.203361	19233.455674
67	160126.439592	71933.161586	67847.097946	20346.180060
68	165457.582047	71252.932392	72754.557641	21450.092014
69	170557.204912	70378.097234	77636.659896	22542.447782
70	175429.161564	69331.775153	82476.746347	23620.640064
71	180078.489362	68136.868534	87259.422818	24682.198010
72	184511.409647	66816.063107	91970.559318	25724.787222
73	188735.327746	65391.827951	96597.290043	26746.209752
74	192758.832967	63886.415488	101128.013375	27744.404105
75	196590.315794	62318.101369	105554.276227	28717.938197
76	200236.968351	60697.600382	109872.882218	29666.485751
77	203706.539331	59035.717207	114081.103914	30589.718210
78	207006.648285	57342.843952	118176.473896	31487.330437
79	210144.784805	55628.958345	122156.785522	32359.040939
80	213128.308528	53903.623726	126020.092931	33204.591870
81	215964.449128	52175.989055	129764.711042	34023.749031
82	218660.306327	50454.788906	133389.215554	34816.301867
83	221222.849884	48748.343471	136892.442943	35582.063469
84	223658.736946	47063.206561	140274.429633	36321.100752
85	225973.894979	45402.075736	143537.776516	37034.042726
86	228173.978727	43767.291119	146685.173812	37721.513795
87	230264.462912	42161.165796	149719.189887	38384.107229
88	232250.642138	40585.984833	152642.271954	39022.385351
89	234137.630897	39044.005278	155456.746078	39636.879542
90	235930.363566	37537.456158	158164.817171	40228.090237
91	237633.594407	36068.538483	160768.568999	40796.486925
92	239251.897568	34639.425241	163269.964175	41342.508152
93	240789.667082	33252.261403	165670.844162	41866.561517
94	242251.068539	31908.205121	167973.673376	42369.190042
95	243639.775620	30606.208869	170182.321011	42851.245740
96	244959.210387	29345.511150	172300.218215	43313.481023
97	246212.685427	28125.437760	174330.634984	43756.612684
98	247403.404109	26945.394854	176276.686037	44181.323218
99	248534.460592	25804.868949	178141.330817	44588.260825
100	249608.839818	24703.426923	179927.373490	44978.039405
101	250629.417520	23640.716013	181637.462946	45351.238561
102	251598.960212	22616.463818	183274.092795	45708.403599
103	252520.125200	21630.478297	184839.601375	46050.045528
104	253395.460572	20682.647770	186336.171743	46376.641059
105	254227.383320	19772.448592	187766.217543	46688.717185
106	255017.988820	18898.179478	189132.854733	46986.954609
107	255769.185795	18058.498435	190438.751502	47271.935858
108	256482.826252	17252.157138	191686.452626	47544.216489
109	257160.706454	16477.985119	192878.393234	47804.328101
110	257804.566913	15734.889769	194016.898801	48052.778342
111	258416.092394	15021.856335	195104.185157	48290.050903
112	258996.911916	14337.947920	196142.358476	48516.605520
