day	sum	infected	cured	deceased
0	0.000000	0.000000	0.000000	0.000000
1	0.000351	0.000351	0.000000	0.000000
2	0.000839	0.000839	0.000000	0.000001
3	0.001518	0.001517	0.000000	0.000001
4	0.002465	0.002462	0.000000	0.000003
5	0.003797	0.003792	0.000000	0.000005
6	0.005641	0.005632	0.000000	0.000009
7	0.008176	0.008163	0.000000	0.000014
8	0.011708	0.011687	0.000000	0.000021
9	0.016660	0.016628	0.000000	0.000032
10	0.023578	0.023531	0.000000	0.000047
11	0.033227	0.033159	0.000000	0.000068
12	0.046614	0.046516	0.000000	0.000097
13	0.065146	0.065008	0.000000	0.000138
14	0.091005	0.090809	0.000000	0.000196
15	0.127149	0.126872	0.000000	0.000277
16	0.177581	0.177191	0.000000	0.000390
17	0.247766	0.247218	0.000000	0.000548
18	0.344799	0.344032	0.000000	0.000767
19	0.479984	0.478913	0.000000	0.001071
20	0.669014	0.667517	0.000000	0.001497
21	0.932381	0.930290	0.000000	0.002091
22	1.299105	1.296186	0.000000	0.002918
23	1.807742	1.803675	0.000001	0.004066
24	2.516623	2.510957	0.000001	0.005665
25	3.505559	3.497661	0.000002	0.007896
26	4.884236	4.873223	0.000005	0.011009
27	6.798006	6.782666	0.000009	0.015330
28	9.459555	9.438201	0.000017	0.021337
29	13.173484	13.143733	0.000032	0.029718
30	18.349583	18.308111	0.000064	0.041407
31	25.548056	25.490259	0.000125	0.057672
32	35.539807	35.459333	0.000235	0.080238
33	49.469075	49.356926	0.000456	0.111693
34	68.872930	68.716500	0.000893	0.155537
35	95.880769	95.662371	0.001766	0.216633
36	133.328550	133.023852	0.003339	0.301360
37	185.407815	184.982135	0.006427	0.419254
38	257.832795	257.236841	0.012523	0.583431
39	358.356673	357.520078	0.024722	0.811873
40	497.384153	496.208769	0.046972	1.128412
41	689.676264	688.018524	0.090163	1.567577
42	955.114933	952.763125	0.174972	2.176835
43	1319.613179	1316.249021	0.344117	3.020041
44	1817.865411	1813.033175	0.650631	4.181605
45	2494.139205	2487.124630	1.236613	5.777962
46	3402.497894	3392.161162	2.373605	7.963127
47	4602.343738	4586.844620	4.575631	10.923487
48	6167.982268	6144.524120	8.543377	14.914771
49	8155.958399	8119.988689	15.731382	20.238328
50	10571.977056	10515.834868	28.948730	27.193458
51	13370.590603	13282.148582	52.365082	36.076938
52	16415.492128	16276.209540	92.145180	47.137409
53	19433.024846	19215.197539	157.389516	60.437791
54	22081.029520	21745.718315	259.503388	75.807817
55	24061.247293	23557.253039	411.174395	92.819859
56	25269.387494	24533.865018	624.647453	110.875023
57	25840.107815	24800.173536	910.552930	129.381349
58	26037.243417	24611.683073	1277.659887	147.900457
59	26084.517605	24185.676857	1732.661385	166.179362
60	26091.995578	23629.088600	2278.820304	184.086674
61	26092.750286	22977.218276	2913.991588	201.540423
62	26092.798038	22244.656044	3629.666951	218.475043
63	26092.799949	21446.204070	4411.760418	234.835461
64	26092.799998	20599.508885	5242.712295	250.578818
65	26092.800000	19723.098041	6104.026012	265.675947
66	26092.800000	18834.253856	6978.434957	280.111187
67	26092.800000	17947.643129	7851.275921	293.880950
68	26092.800000	17074.804012	8711.004646	306.991343
69	26092.800000	16225.375070	9547.970271	319.454659
70	26092.800000	15404.181951	10357.326183	331.291866
71	26092.800000	14613.582293	11136.690683	342.527024
72	26092.800000	13855.356569	11884.259149	353.184282
73	26092.800000	13130.708093	12598.804030	363.287877
74	26092.800000	12440.263015	13279.674849	372.862136
75	26092.800000	11784.070326	13926.798203	381.931471
76	26092.800000	11161.601850	14540.677762	390.520387
77	26092.800000	10571.752254	15122.394271	398.653475
78	26092.800000	10012.839039	15673.605547	406.355415
79	26092.800000	9482.608599	16196.540400	413.651001
80	26092.800000	8979.368847	16692.864965	420.566188
81	26092.800000	8502.299577	17163.381134	427.119289
82	26092.800000	8050.362500	17609.112467	433.325033
83	26092.800000	7622.524185	18031.077771	439.198044
84	26092.800000	7217.756061	18430.291097	444.752842
85	26092.800000	6835.034411	18807.761746	450.003843
86	26092.800000	6473.340380	19164.494263	454.965358
87	26092.800000	6131.659967	19501.488439	459.651594
88	26092.800000	5808.984032	19819.739314	464.076655
89	26092.800000	5504.308291	20120.237172	468.254538
90	26092.800000	5216.633318	20403.967545	472.199138
91	26092.800000	4944.964545	20671.911210	475.924244
92	26092.800000	4688.312264	20925.044193	479.443544
93	26092.800000	4445.691620	21164.337764	482.770616
94	26092.800000	4216.122620	21390.758440	485.918940
95	26092.800000	3998.630128	21605.267985	488.901887
96	26092.800000	3792.243864	21808.823410	491.732726
97	26092.800000	3595.998408	22002.376971	494.424620
98	26092.800000	3408.933198	22186.876172	496.990631
99	26092.800000	3230.092526	22363.263762	499.443712
100	26092.800000	3058.652845	22532.352134	501.795021
101	26092.800000	2894.922892	22693.836572	504.040536
102	26092.800000	2739.099514	22847.522873	506.177613
103	26092.800000	2591.213050	22993.381113	508.205837
104	26092.800000	2451.243910	23131.430614	510.125476
105	26092.800000	2319.122579	23261.739937	511.937485
106	26092.800000	2194.729612	23384.426888	513.643500
107	26092.800000	2077.895638	23499.658517	515.245845
108	26092.800000	1968.401359	23607.651112	516.747529
109	26092.800000	1865.977549	23708.670209	518.152242
110	26092.800000	1770.305055	23803.030582	519.464364
111	26092.800000	1681.014795	23891.096250	520.688954
112	26092.800000	1597.687764	23973.280476	521.831761
113	26092.800000	1519.855024	24050.045762	522.899215
114	26092.800000	1446.997713	24121.903855	523.898432
115	26092.800000	1378.547042	24189.415744	524.837214
116	26092.800000	1313.884294	24253.191661	525.724046
117	26092.800000	1252.340823	24313.891080	526.568097
118	26092.800000	1193.198057	24372.222719	527.379224
119	26092.800000	1135.687499	24428.944536	528.167965
120	26092.800000	1078.990719	24484.863735	528.945546
121	26092.800000	1022.438519	24540.640338	529.721143
122	26092.800000	968.078097	24594.255222	530.466681
123	26092.800000	916.579768	24645.047265	531.172967
124	26092.800000	867.809185	24693.148973	531.841841
125	26092.800000	821.635247	24738.689649	532.475104
126	26092.800000	777.930097	24781.795395	533.074508
