day	sum	infected	cured	deceased
0	0.000000	0.000000	0.000000	0.000000
1	0.000049	0.000049	0.000000	0.000000
2	0.000125	0.000125	0.000000	0.000000
3	0.000238	0.000238	0.000000	0.000000
4	0.000406	0.000406	0.000000	0.000000
5	0.000664	0.000664	0.000000	0.000000
6	0.001054	0.001054	0.000000	0.000000
7	0.001654	0.001654	0.000000	0.000000
8	0.002545	0.002545	0.000000	0.000000
9	0.003870	0.003870	0.000000	0.000000
10	0.005888	0.005888	0.000000	0.000000
11	0.008970	0.008970	0.000000	0.000000
12	0.013666	0.013666	0.000000	0.000000
13	0.020800	0.020800	0.000000	0.000000
14	0.031285	0.031285	0.000000	0.000000
15	0.047066	0.047066	0.000000	0.000000
16	0.071225	0.071224	0.000000	0.000000
17	0.107972	0.107971	0.000000	0.000000
18	0.164399	0.164397	0.000001	0.000000
19	0.248535	0.248532	0.000003	0.000000
20	0.372814	0.372809	0.000004	0.000000
21	0.561365	0.561356	0.000008	0.000000
22	0.850092	0.850071	0.000020	0.000000
23	1.286880	1.286832	0.000048	0.000000
24	1.944723	1.944611	0.000111	0.000001
25	2.936346	2.936097	0.000248	0.000001
26	4.435692	4.435121	0.000569	0.000002
27	6.699180	6.697860	0.001317	0.000002
28	10.104667	10.101723	0.002940	0.000004
29	15.239594	15.232876	0.006712	0.000006
30	22.962596	22.947062	0.015526	0.000009
31	34.518639	34.484246	0.034380	0.000013
32	51.781346	51.704005	0.077321	0.000019
33	77.403109	77.228048	0.175032	0.000029
34	115.089645	114.705916	0.383685	0.000043
35	169.842081	169.012729	0.829287	0.000065
36	247.995405	246.223970	1.771340	0.000096
37	356.844675	353.187820	3.656713	0.000141
38	504.656493	497.355497	7.300790	0.000205
39	697.725198	683.803137	13.921767	0.000295
40	939.534735	914.399076	25.135243	0.000416
41	1230.547367	1187.657822	42.888971	0.000575
42	1566.393431	1497.273827	69.118825	0.000779
43	1940.252037	1834.821213	105.429792	0.001032
44	2344.742491	2191.809273	152.931879	0.001339
45	2771.944305	2559.682161	212.260443	0.001700
46	3214.967852	2931.329499	283.636235	0.002118
47	3669.543847	3302.734835	366.806419	0.002593
48	4132.200939	3670.744978	461.452838	0.003124
49	4600.091965	4032.848010	567.240246	0.003710
50	5070.993949	4387.173289	683.816310	0.004350
51	5543.308103	4732.491452	810.811608	0.005044
52	6016.059829	5068.214410	947.839629	0.005790
53	6488.898715	5394.395351	1094.496777	0.006586
54	6961.919313	5711.533340	1250.378542	0.007432
55	7434.623513	6019.428319	1415.186869	0.008324
56	7906.822540	6318.174682	1588.638595	0.009263
57	8378.424503	6607.960329	1770.453928	0.010247
58	8849.352274	6888.978742	1960.362258	0.011274
59	9319.543488	7161.428982	2158.102162	0.012344
60	9788.950547	7425.515691	2363.421402	0.013454
61	10257.540615	7681.449088	2576.076924	0.014603
62	10725.295622	7929.444972	2795.834859	0.015791
63	11192.212261	8169.724722	3022.470522	0.017017
64	11658.301991	8402.515298	3255.768415	0.018278
65	12123.577386	8628.057903	3495.499910	0.019574
66	12588.021607	8846.581450	3741.419254	0.020903
67	13051.634397	9058.263955	3993.348176	0.022265
68	13514.416826	9263.279060	4251.114107	0.023658
69	13976.369993	9461.797818	4514.547093	0.025082
70	14437.495026	9653.988691	4783.479798	0.026536
71	14897.793076	9840.017553	5057.747504	0.028019
72	15357.265323	10020.047686	5337.188108	0.029529
73	15815.912976	10194.239783	5621.642125	0.031067
74	16273.737267	10362.751946	5910.952689	0.032631
75	16730.739458	10525.739689	6204.965549	0.034220
76	17186.920837	10683.355933	6503.529070	0.035834
77	17642.282719	10835.751010	6806.494237	0.037472
78	18096.826448	10983.072665	7113.714650	0.039132
79	18550.553391	11125.466048	7425.046528	0.040815
80	19003.464946	11263.073723	7740.348704	0.042520
81	19455.562536	11396.035661	8059.482630	0.044245
82	19906.847612	11524.489246	8382.312377	0.045990
83	20357.321651	11648.569268	8708.704628	0.047754
84	20806.986158	11768.407932	9038.528689	0.049537
85	21255.842664	11884.134848	9371.656479	0.051338
86	21703.892729	11995.877039	9707.962534	0.053156
87	22151.137937	12103.758937	10047.324011	0.054990
88	22597.579903	12207.902384	10389.620679	0.056841
89	23043.220114	12308.428172	10734.733236	0.058706
90	23488.059743	12405.440412	11082.558745	0.060586
91	23932.100214	12499.022702	11433.015031	0.062481
92	24375.342962	12589.257207	11786.021366	0.064389
93	24817.789419	12676.225180	12141.497928	0.066310
94	25259.441015	12760.006962	12499.365808	0.068245
95	25700.299178	12840.681980	12859.547006	0.070192
96	26140.365333	12918.328750	13221.964432	0.072151
97	26579.640903	12993.024875	13586.541906	0.074122
98	27018.127307	13064.847045	13953.204158	0.076104
99	27455.825964	13133.871040	14321.876828	0.078097
100	27892.738289	13200.171724	14692.486465	0.080100
101	28328.865693	13263.823050	15064.960530	0.082113
102	28764.209588	13324.898060	15439.227391	0.084137
103	29198.771381	13383.468882	15815.216329	0.086169
104	29632.552476	13439.606732	16192.857534	0.088210
105	30065.554278	13493.381913	16572.082105	0.090260
106	30497.778185	13544.863816	16952.822051	0.092318
107	30929.225596	13594.120920	17335.010292	0.094384
108	31359.897905	13641.220790	17718.580657	0.096458
109	31789.796505	13686.230081	18103.467886	0.098538
110	32218.922788	13729.214534	18489.607628	0.100626
111	32647.278139	13770.238977	18876.936443	0.102719
112	33074.863944	13809.367326	19265.391799	0.104819
113	33501.681587	13846.662585	19654.912076	0.106925
114	33927.732446	13882.186847	20045.436563	0.109036
115	34353.017900	13916.001289	20436.905460	0.111152
116	34777.539325	13948.166178	20829.259874	0.113273
117	35201.298092	13978.740867	21222.441826	0.115398
118	35624.295573	14007.780332	21616.397713	0.117528
119	36046.533137	14035.321728	22011.091748	0.119661
120	36468.012150	14061.397065	22406.493286	0.121799
121	36888.733971	14086.038199	22802.571832	0.123940
122	37308.699962	14109.276825	23199.297053	0.126084
123	37727.911479	14131.144466	23596.638780	0.128232
124	38146.369877	14151.672484	23994.567010	0.130383
125	38564.076509	14170.892070	24393.051901	0.132537
126	38981.032724	14188.834253	24792.063777	0.134694
127	39397.239871	14205.529892	25191.573126	0.136854
128	39812.699295	14221.009682	25591.550598	0.139016
129	40227.412339	14235.304151	25991.967008	0.141180
130	40641.380344	14248.443662	26392.793335	0.143347
131	41054.604648	14260.458409	26794.000723	0.145516
132	41467.086587	14271.378423	27195.560478	0.147686
133	41878.827496	14281.233566	27597.444071	0.149859
134	42289.828704	14290.053535	27999.623136	0.152033
135	42700.091542	14297.867861	28402.069472	0.154208
136	43109.617335	14304.705908	28804.755042	0.156385
137	43518.407408	14310.596874	29207.651972	0.158563
138	43926.463084	14315.569791	29610.732551	0.160742
139	44333.785681	14319.653524	30013.969236	0.162921
140	44740.376517	14322.876773	30417.334642	0.165102
141	45146.236906	14325.268070	30820.801553	0.167283
142	45551.368162	14326.855783	31224.342915	0.169464
143	45955.771593	14327.668111	31627.931836	0.171646
144	46359.448509	14327.733090	32031.541592	0.173828
145	46762.400215	14327.078586	32435.145619	0.176009
146	47164.628013	14325.732302	32838.717520	0.178191
147	47566.133204	14323.721773	33242.231059	0.180372
